err_H,err_H_dir,err_A,obs_ok,tgt_acc,precision,recall,f1,shd,amari,rows_changed,obs_rows_changed,regime,d,n,seed,method,window
0.028306875264389478,3.827094744032755e-05,0.025912145042854065,1,1.0,1.0,1.0,1.0,0,0.008722503881253419,1.0,0.0,pbmc,4,20000,47,OT-ICA,overdispersed
0.039724109651976175,7.532512331923091e-05,0.02773734975078535,1,1.0,1.0,1.0,1.0,0,0.011679757722887046,1.0,0.0,pbmc,4,20000,47,FastICA,overdispersed
0.023112550537889503,2.315672061914409e-05,0.011268305130323479,1,1.0,1.0,1.0,1.0,0,0.008043162582723955,1.0,0.0,pbmc,4,20000,48,OT-ICA,overdispersed
0.038704999615297914,6.356075293889596e-05,0.038315992207752385,1,1.0,1.0,1.0,1.0,0,0.011614095206880453,1.0,0.0,pbmc,4,20000,48,FastICA,overdispersed
0.01034747844670618,4.897094829259263e-06,0.013956660414982967,1,1.0,1.0,1.0,1.0,0,0.008806154438670565,1.0,0.0,pbmc,4,20000,49,OT-ICA,overdispersed
0.02259543391753708,2.2705297380187783e-05,0.03349519004575083,1,1.0,1.0,1.0,1.0,0,0.012035004704961988,1.0,0.0,pbmc,4,20000,49,FastICA,overdispersed
0.023280851909797774,2.3240541581204255e-05,0.02626532721217589,1,1.0,1.0,1.0,1.0,0,0.00920514565660847,1.0,0.0,pbmc,4,20000,50,OT-ICA,overdispersed
0.05547652759400852,0.00012957214146261387,0.057006257117688364,1,1.0,1.0,1.0,1.0,0,0.012132476030986893,1.0,0.0,pbmc,4,20000,50,FastICA,overdispersed
0.05676934636732231,0.0001847535208289175,0.04832704159038826,1,1.0,1.0,1.0,1.0,0,0.00896583845190561,1.0,0.0,pbmc,4,20000,51,OT-ICA,overdispersed
0.07250957959213974,0.0002775255627815165,0.04194491545775251,1,1.0,1.0,1.0,1.0,0,0.01312876412179526,1.0,0.0,pbmc,4,20000,51,FastICA,overdispersed
