sim,method,1,2,3
80,FastICA,0.10619147275947294,0.24380465710782756,0.6500038701326996
80,Chol-min,0.014511501080947564,0.07072941485754781,0.08708342500449684
80,Chol-max,0.43668116412853686,0.5958026624789837,0.8394662428524858
81,OT-ICA,0.1264782528567549,0.2260379211936814,0.6474838259495637
81,FastICA,0.12892334981504194,0.2448941781158435,0.6261824720691146
81,Chol-min,0.009289485838533767,0.08460131054697262,0.08934525861104242
81,Chol-max,0.4167262114296035,0.6289150973074782,0.8313779330378966
82,OT-ICA,0.0860553880514929,0.2272323733882185,0.6867122385602886
82,FastICA,0.08540425794744175,0.24556854026980818,0.6690272017827501
82,Chol-min,0.008018411884389225,0.08277670974403065,0.08460835329049068
82,Chol-max,0.42994397124386674,0.6247085634134559,0.8343701377726542
83,OT-ICA,0.11678246934982706,0.2152344009859784,0.6679831296641946
83,FastICA,0.1136867911401455,0.21978717689726474,0.6665260319625897
83,Chol-min,0.009663569184968177,0.070505732386999,0.09708492123630884
83,Chol-max,0.42276534709842917,0.6086345105121365,0.8516037919911738
84,OT-ICA,0.14303142806845337,0.302112634061593,0.5548559378699537
84,FastICA,0.14066117219553148,0.32057161440388476,0.5387672134005838
84,Chol-min,0.006834102207323751,0.11860154613934357,0.050376817077535475
84,Chol-max,0.40768601227667156,0.6905576446699198,0.7783174162948964
85,OT-ICA,0.14464901770837457,0.29983504745106454,0.5555159348405609
85,FastICA,0.1362233498582481,0.30037913747660616,0.5633975126651456
85,Chol-min,0.013417765065296518,0.09535817405501215,0.06468193333488846
85,Chol-max,0.4182258967005413,0.660457733238152,0.7982086278185738
86,OT-ICA,0.1250998146895363,0.21502641587242555,0.6598737694380381
86,FastICA,0.13719143339109663,0.21221354527752262,0.6505950213313807
86,Chol-min,0.015683541603451964,0.06318309637993541,0.09056929357683309
86,Chol-max,0.43660725416538715,0.5967527108549412,0.8472362824728444
87,OT-ICA,0.1271393362739307,0.29659039149100297,0.5762702722350663
87,FastICA,0.1276213233259087,0.2958217253846369,0.5765569512894545
87,Chol-min,0.011453572673569397,0.07929453096856796,0.0821059886634945
87,Chol-max,0.4252509937757789,0.6277471561279069,0.8306408766167784
88,OT-ICA,0.14876286573491534,0.19341797662381555,0.6578191576412691
88,FastICA,0.1255781823278293,0.2034673134813064,0.6709545041908643
88,Chol-min,0.012493207710031297,0.06569850962258297,0.09247098975021409
88,Chol-max,0.4609407599229453,0.5948542848339644,0.846434934556826
89,OT-ICA,0.1159666639693809,0.26298855870272503,0.6210447773278941
89,FastICA,0.12196545666214557,0.2523049576467133,0.6257295856911411
89,Chol-min,0.00895826411510111,0.07198038125901421,0.09568591713028761
89,Chol-max,0.43081665021956617,0.6095500544093765,0.849602522713076
90,OT-ICA,0.10038701385616418,0.2674794850071577,0.6321335011366782
90,FastICA,0.0985321784084653,0.2676977725208346,0.6337700490707
90,Chol-min,0.0063054066306712335,0.06893939521636065,0.11441004889161689
90,Chol-max,0.4031898885047121,0.602454561204935,0.8676246920141643
91,OT-ICA,0.12655954779832815,0.246819821026371,0.6266206311753009
91,FastICA,0.12681509632790655,0.25782256025266154,0.6153623434194319
91,Chol-min,0.01444587210196412,0.07023842544101279,0.08951489951771927
91,Chol-max,0.44906537591244583,0.6017318440222363,0.8370179018718064
92,OT-ICA,0.09882243077288609,0.24000252930313215,0.6611750399239817
92,FastICA,0.11000978837920125,0.23312689352912042,0.6568633180916783
92,Chol-min,0.014334213634808921,0.05885488696720798,0.1010835071199658
92,Chol-max,0.44921190593685584,0.5867324410963863,0.856193174384807
93,OT-ICA,0.10910430131527472,0.18288910047661894,0.7080065982081064
93,FastICA,0.11620448836541303,0.19107938216534487,0.6927161294692421
93,Chol-min,0.010006002520984608,0.06091484271961183,0.1000947517752601
93,Chol-max,0.4156568918353529,0.5892891646908395,0.8678264136958278
94,OT-ICA,0.11505781430570279,0.2734463733513768,0.6114958123429204
94,FastICA,0.11045975911163079,0.27402391017537475,0.6155163307129944
94,Chol-min,0.0143216780763597,0.08768068925349251,0.08470857864013254
94,Chol-max,0.425570665495582,0.6336816324417281,0.8130947461324873
95,OT-ICA,0.12527944104159094,0.24022374554676174,0.6344968134116473
95,FastICA,0.11983450715919239,0.24882027994716624,0.6313452128936414
95,Chol-min,0.008151981999908835,0.08395287513700833,0.09243299601713999
95,Chol-max,0.41429228871393126,0.6360569345044146,0.8344654593140787
96,OT-ICA,0.11435779912220191,0.25008022845036365,0.6355619724274344
96,FastICA,0.11649754909954693,0.23522983526430452,0.6482726156361485
96,Chol-min,0.010911217001557474,0.058742006459931585,0.11555393579091713
96,Chol-max,0.4430822545596733,0.5809428614981662,0.8667306974391359
97,OT-ICA,0.10061263678628182,0.2294289310388396,0.6699584321748785
97,FastICA,0.10965313057026926,0.2274471368530409,0.6628997325766899
97,Chol-min,0.008017686379647353,0.0641371839196955,0.11799994786856889
97,Chol-max,0.40850490503301523,0.5930269856491447,0.8702918864629601
98,OT-ICA,0.09321486505291206,0.34853145975869226,0.5582536751883957
98,FastICA,0.10102291496495978,0.3492032930937116,0.5497737919413286
98,Chol-min,0.0039202257776620566,0.10071260002876627,0.08245024760024293
98,Chol-max,0.3836891300781066,0.6695940891100065,0.8247015222785212
99,OT-ICA,0.11441465128589856,0.28486272187473155,0.6007226268393698
99,FastICA,0.11015907601229286,0.287327489516246,0.6025134344714612
99,Chol-min,0.011341951136743056,0.08381471727273304,0.07835840803903789
