err_H,err_A,obs_ok,tgt_acc,precision,recall,f1,shd,amari,rows_changed,obs_rows_changed,regime,d,n,seed,method
0.09829912213710146,0.0609034701295396,1,1.0,1.0,1.0,1.0,0,0.01938080668244163,1.0,0.0,laplace,4,20000,42,OT-ICA
0.08349987946869437,0.048867627544833384,1,1.0,1.0,1.0,1.0,0,0.020709698111848703,1.0,0.0,laplace,4,20000,42,FastICA
0.06128064525322556,0.057023292518217014,1,1.0,1.0,1.0,1.0,0,0.015823239220679408,1.0,0.0,laplace,4,20000,43,OT-ICA
0.053617891479095785,0.04320790582518195,1,1.0,1.0,1.0,1.0,0,0.015251411339281267,1.0,0.0,laplace,4,20000,43,FastICA
0.05770860626616108,0.09020687335881133,1,1.0,1.0,1.0,1.0,0,0.017992335523497244,1.0,0.0,laplace,4,20000,44,OT-ICA
0.06183400491791368,0.09193887475494131,1,1.0,1.0,1.0,1.0,0,0.017193798365147617,1.0,0.0,laplace,4,20000,44,FastICA
0.0895620900323197,0.05409891625251767,1,1.0,1.0,1.0,1.0,0,0.018940814571428776,1.0,0.0,laplace,4,20000,45,OT-ICA
0.08884902384662136,0.05975695654623346,1,1.0,1.0,1.0,1.0,0,0.018852669583813236,1.0,0.0,laplace,4,20000,45,FastICA
0.07327814721298723,0.05136966554159804,1,1.0,1.0,1.0,1.0,0,0.016684014294811388,1.0,0.0,laplace,4,20000,46,OT-ICA
0.07222253296926762,0.04148895429026807,1,1.0,1.0,1.0,1.0,0,0.018097856631399855,1.0,0.0,laplace,4,20000,46,FastICA
0.0883357171126246,0.06980703934614346,1,1.0,1.0,1.0,1.0,0,0.019967824592759264,1.0,0.0,laplace,4,20000,47,OT-ICA
0.08130597600889237,0.0703925157710026,1,1.0,1.0,1.0,1.0,0,0.02102114045416073,1.0,0.0,laplace,4,20000,47,FastICA
0.08763505414954607,0.0584946041078038,1,1.0,1.0,1.0,1.0,0,0.01937011595582498,1.0,0.0,laplace,4,20000,48,OT-ICA
0.1023557396116181,0.06906627679454462,1,1.0,1.0,1.0,1.0,0,0.0193258638791232,1.0,0.0,laplace,4,20000,48,FastICA
0.10020820886403611,0.09166117279593554,1,1.0,1.0,1.0,1.0,0,0.017721193691341862,1.0,0.0,laplace,4,20000,49,OT-ICA
0.10128949925578076,0.09875911719513641,1,1.0,1.0,1.0,1.0,0,0.017543291950984075,1.0,0.0,laplace,4,20000,49,FastICA
0.06701201657652925,0.055855746970202576,1,1.0,1.0,1.0,1.0,0,0.022497968207838236,1.0,0.0,laplace,4,20000,50,OT-ICA
0.06997318000805523,0.06120216253701356,1,1.0,1.0,1.0,1.0,0,0.020634009283963493,1.0,0.0,laplace,4,20000,50,FastICA
0.09624581070316393,0.08793317765360707,1,1.0,1.0,1.0,1.0,0,0.01760361293877614,1.0,0.0,laplace,4,20000,51,OT-ICA
0.09319938492822386,0.08640125600407975,1,1.0,1.0,1.0,1.0,0,0.01746114352040492,1.0,0.0,laplace,4,20000,51,FastICA
0.0032707222574220305,0.01581104657591465,1,1.0,1.0,1.0,1.0,0,0.014662395374504639,1.0,0.0,count_int,4,20000,42,OT-ICA
3.7775321260227472,2.2225164004490785,1,1.0,1.0,1.0,1.0,0,0.025372973075138795,1.0,0.0,count_int,4,20000,42,FastICA
0.0021808690700724056,0.02232851495588161,1,1.0,1.0,1.0,1.0,0,0.013009193115753848,1.0,0.0,count_int,4,20000,43,OT-ICA
3.8729508525282723,1.273353454203264,1,1.0,1.0,1.0,1.0,0,0.022190129141256953,1.0,0.0,count_int,4,20000,43,FastICA
0.0032813976504429258,0.03236535268248348,1,1.0,1.0,1.0,1.0,0,0.01494882013415313,0.75,0.0,count_int,4,20000,44,OT-ICA
0.1157238847149175,0.08858721294025722,1,1.0,1.0,1.0,1.0,0,0.02081036192342773,0.75,0.0,count_int,4,20000,44,FastICA
0.004359642105589299,0.0321617567356735,1,1.0,1.0,1.0,1.0,0,0.015604796671382166,1.0,0.0,count_int,4,20000,45,OT-ICA
0.08443507168111854,0.06695765694588188,1,1.0,1.0,1.0,1.0,0,0.019960227782425566,1.0,0.0,count_int,4,20000,45,FastICA
0.0034924069825472723,0.019504881927669408,1,1.0,1.0,1.0,1.0,0,0.014854450742584374,1.0,0.0,count_int,4,20000,46,OT-ICA
0.15050926865208275,0.11102322779431238,1,1.0,1.0,1.0,1.0,0,0.029201807553161513,1.0,0.0,count_int,4,20000,46,FastICA
